device,network,policy,seed,scenario,cacheSize,alerts,reliability,durationSec,queryRatePerMin,cacheHitRate,deliveryRate,avgFreshness,staleAccessRate,redundancyIndex,actionabilityFirstRatio,timelinessConsistency,pushesSent,pushSuppressRate,pushDuplicateRate,pushTimelyFirstRatio
Budget Phone,Perfect,LRU,FISHDINNER,Urban,32,400,1.000,900,60,0.998456,1.000000,0.919813,0.000000,0.572500,0.848739,0.243697,0,0.000000,0.000000,0.000000
Budget Phone,Perfect,TTLOnly,FISHDINNER,Urban,32,400,1.000,900,60,0.998456,1.000000,0.937465,0.000000,0.572500,0.834483,0.206897,0,0.000000,0.000000,0.000000
Budget Phone,Perfect,PriorityFresh,FISHDINNER,Urban,32,400,1.000,900,60,0.998456,1.000000,0.830473,0.000000,0.572500,0.971831,0.394366,0,0.000000,0.000000,0.000000
Budget Phone,Perfect,PAFTinyLFU,FISHDINNER,Urban,32,400,1.000,900,60,0.998456,1.000000,0.792423,0.000000,0.572500,0.870370,0.481481,0,0.000000,0.000000,0.000000
Budget Phone,Excellent,LRU,FISHDINNER,Urban,32,400,0.950,900,60,0.998442,1.000000,0.916867,0.000000,0.572500,0.840708,0.265487,0,0.000000,0.000000,0.000000
Budget Phone,Excellent,TTLOnly,FISHDINNER,Urban,32,400,0.950,900,60,0.998442,1.000000,0.938199,0.000000,0.572500,0.824324,0.195946,0,0.000000,0.000000,0.000000
Budget Phone,Excellent,PriorityFresh,FISHDINNER,Urban,32,400,0.950,900,60,0.998442,1.000000,0.814473,0.000000,0.572500,0.970149,0.417910,0,0.000000,0.000000,0.000000
Budget Phone,Excellent,PAFTinyLFU,FISHDINNER,Urban,32,400,0.950,900,60,0.998442,1.000000,0.801561,0.000000,0.572500,0.852459,0.426230,0,0.000000,0.000000,0.000000
Budget Phone,Good,LRU,FISHDINNER,Urban,32,400,0.900,900,60,0.998420,1.000000,0.918322,0.000000,0.572500,0.865546,0.226891,0,0.000000,0.000000,0.000000
Budget Phone,Good,TTLOnly,FISHDINNER,Urban,32,400,0.900,900,60,0.998420,1.000000,0.937655,0.000000,0.572500,0.801471,0.205882,0,0.000000,0.000000,0.000000
Budget Phone,Good,PriorityFresh,FISHDINNER,Urban,32,400,0.900,900,60,0.998420,1.000000,0.819300,0.000000,0.572500,0.968750,0.406250,0,0.000000,0.000000,0.000000
Budget Phone,Good,PAFTinyLFU,FISHDINNER,Urban,32,400,0.900,900,60,0.998420,1.000000,0.810617,0.000000,0.572500,0.851852,0.444444,0,0.000000,0.000000,0.000000
Budget Phone,Fair,LRU,FISHDINNER,Urban,32,400,0.850,900,60,0.998411,0.997500,0.920754,0.000000,0.571429,0.836207,0.258621,0,0.000000,0.000000,0.000000
Budget Phone,Fair,TTLOnly,FISHDINNER,Urban,32,400,0.850,900,60,0.998411,0.997500,0.936493,0.000000,0.571429,0.841727,0.215827,0,0.000000,0.000000,0.000000
Budget Phone,Fair,PriorityFresh,FISHDINNER,Urban,32,400,0.850,900,60,0.998411,0.997500,0.824955,0.000000,0.571429,0.970588,0.411765,0,0.000000,0.000000,0.000000
Budget Phone,Fair,PAFTinyLFU,FISHDINNER,Urban,32,400,0.850,900,60,0.998411,0.997500,0.794744,0.000000,0.571429,0.919355,0.403226,0,0.000000,0.000000,0.000000
Budget Phone,Poor,LRU,FISHDINNER,Urban,32,400,0.700,900,60,0.998394,0.987500,0.918431,0.000000,0.572152,0.855932,0.237288,0,0.000000,0.000000,0.000000
Budget Phone,Poor,TTLOnly,FISHDINNER,Urban,32,400,0.700,900,60,0.998394,0.987500,0.935129,0.000000,0.572152,0.814570,0.198675,0,0.000000,0.000000,0.000000
Budget Phone,Poor,PriorityFresh,FISHDINNER,Urban,32,400,0.700,900,60,0.998394,0.987500,0.820732,0.000000,0.572152,0.971429,0.371429,0,0.000000,0.000000,0.000000
Budget Phone,Poor,PAFTinyLFU,FISHDINNER,Urban,32,400,0.700,900,60,0.998394,0.987500,0.796340,0.000000,0.572152,0.882353,0.431373,0,0.000000,0.000000,0.000000
Budget Phone,Very Poor,LRU,FISHDINNER,Urban,32,400,0.600,900,60,0.998421,0.982500,0.919063,0.000000,0.569975,0.844262,0.262295,0,0.000000,0.000000,0.000000
Budget Phone,Very Poor,TTLOnly,FISHDINNER,Urban,32,400,0.600,900,60,0.998421,0.982500,0.934574,0.000000,0.569975,0.830986,0.218310,0,0.000000,0.000000,0.000000
Budget Phone,Very Poor,PriorityFresh,FISHDINNER,Urban,32,400,0.600,900,60,0.998421,0.982500,0.815902,0.000000,0.569975,0.954545,0.454545,0,0.000000,0.000000,0.000000
Budget Phone,Very Poor,PAFTinyLFU,FISHDINNER,Urban,32,400,0.600,900,60,0.998421,0.982500,0.797037,0.000000,0.569975,0.862745,0.470588,0,0.000000,0.000000,0.000000
Budget Phone,Degraded,LRU,FISHDINNER,Urban,32,400,0.500,900,60,0.998424,0.955000,0.915648,0.000000,0.562827,0.864407,0.211864,0,0.000000,0.000000,0.000000
Budget Phone,Degraded,TTLOnly,FISHDINNER,Urban,32,400,0.500,900,60,0.998424,0.955000,0.933215,0.000000,0.562827,0.832168,0.209790,0,0.000000,0.000000,0.000000
Budget Phone,Degraded,PriorityFresh,FISHDINNER,Urban,32,400,0.500,900,60,0.998424,0.955000,0.835349,0.000000,0.562827,0.986842,0.342105,0,0.000000,0.000000,0.000000
Budget Phone,Degraded,PAFTinyLFU,FISHDINNER,Urban,32,400,0.500,900,60,0.998424,0.955000,0.771618,0.000000,0.562827,0.936170,0.446809,0,0.000000,0.000000,0.000000
Budget Phone,Disaster,LRU,FISHDINNER,Urban,32,400,0.300,900,60,0.994003,0.855000,0.904525,0.000000,0.543860,0.805085,0.245763,0,0.000000,0.000000,0.000000
Budget Phone,Disaster,TTLOnly,FISHDINNER,Urban,32,400,0.300,900,60,0.994003,0.855000,0.928364,0.000000,0.543860,0.823529,0.227941,0,0.000000,0.000000,0.000000
Budget Phone,Disaster,PriorityFresh,FISHDINNER,Urban,32,400,0.300,900,60,0.994003,0.855000,0.836636,0.000000,0.543860,0.945205,0.410959,0,0.000000,0.000000,0.000000
Budget Phone,Disaster,PAFTinyLFU,FISHDINNER,Urban,32,400,0.300,900,60,0.994003,0.855000,0.768066,0.000000,0.543860,0.788462,0.480769,0,0.000000,0.000000,0.000000
Standard Phone,Perfect,LRU,FISHDINNER,Urban,128,400,1.000,900,60,0.998456,1.000000,0.844490,0.000000,0.572500,0.838462,0.223077,0,0.000000,0.000000,0.000000
Standard Phone,Perfect,TTLOnly,FISHDINNER,Urban,128,400,1.000,900,60,0.998456,1.000000,0.870920,0.000000,0.572500,0.819355,0.187097,0,0.000000,0.000000,0.000000
Standard Phone,Perfect,PriorityFresh,FISHDINNER,Urban,128,400,1.000,900,60,0.998456,1.000000,0.797688,0.000000,0.572500,0.931624,0.247863,0,0.000000,0.000000,0.000000
Standard Phone,Perfect,PAFTinyLFU,FISHDINNER,Urban,128,400,1.000,900,60,0.998456,1.000000,0.803150,0.000000,0.572500,0.878049,0.353659,0,0.000000,0.000000,0.000000
Standard Phone,Excellent,LRU,FISHDINNER,Urban,128,400,0.950,900,60,0.998442,1.000000,0.840904,0.000000,0.572500,0.833333,0.219697,0,0.000000,0.000000,0.000000
Standard Phone,Excellent,TTLOnly,FISHDINNER,Urban,128,400,0.950,900,60,0.998442,1.000000,0.869278,0.000000,0.572500,0.812081,0.194631,0,0.000000,0.000000,0.000000
