policy,time,cacheSize,hits,misses,hitRate
LRU,0.00,0,0,2,0.000000
LRU,1.00,1,3,2,0.600000
LRU,2.00,2,6,2,0.750000
LRU,3.00,3,6,2,0.750000
LRU,4.00,3,8,2,0.800000
LRU,5.00,3,8,2,0.800000
LRU,6.00,3,9,2,0.818182
LRU,7.00,3,9,2,0.818182
LRU,8.00,3,10,2,0.833333
LRU,9.00,4,11,2,0.846154
LRU,10.00,5,11,2,0.846154
LRU,11.00,6,11,2,0.846154
LRU,12.00,7,12,2,0.857143
LRU,13.00,7,14,2,0.875000
LRU,14.00,7,14,2,0.875000
LRU,15.00,8,15,2,0.882353
LRU,16.00,9,15,2,0.882353
LRU,17.00,10,16,2,0.888889
LRU,18.00,11,17,2,0.894737
LRU,19.00,12,17,2,0.894737
LRU,20.00,12,19,2,0.904762
LRU,21.00,14,19,2,0.904762
LRU,22.00,15,20,2,0.909091
LRU,23.00,15,21,2,0.913043
LRU,24.00,15,23,2,0.920000
LRU,25.00,16,26,2,0.928571
LRU,26.00,17,27,2,0.931034
LRU,27.00,17,29,2,0.935484
LRU,28.00,18,31,2,0.939394
LRU,29.00,18,31,2,0.939394
LRU,30.00,20,32,2,0.941176
LRU,31.00,20,33,2,0.942857
LRU,32.00,20,33,2,0.942857
LRU,33.00,20,36,2,0.947368
LRU,34.00,21,39,2,0.951220
LRU,35.00,21,39,2,0.951220
LRU,36.00,22,39,2,0.951220
LRU,37.00,22,42,2,0.954545
LRU,38.00,23,42,2,0.954545
LRU,39.00,24,42,2,0.954545
LRU,40.00,24,42,2,0.954545
LRU,41.00,24,43,2,0.955556
LRU,42.00,24,43,2,0.955556
LRU,43.00,24,45,2,0.957447
LRU,44.00,24,46,2,0.958333
LRU,45.00,24,46,2,0.958333
LRU,46.00,24,46,2,0.958333
LRU,47.00,25,46,2,0.958333
LRU,48.00,25,46,2,0.958333
LRU,49.00,26,47,2,0.959184
LRU,50.00,26,50,2,0.961538
LRU,51.00,27,50,2,0.961538
LRU,52.00,27,50,2,0.961538
LRU,53.00,28,52,2,0.962963
LRU,54.00,28,53,2,0.963636
LRU,55.00,29,53,2,0.963636
LRU,56.00,30,55,2,0.964912
LRU,57.00,32,56,2,0.965517
LRU,58.00,32,57,2,0.966102
LRU,59.00,32,57,2,0.966102
LRU,60.00,32,57,2,0.966102
LRU,61.00,32,57,2,0.966102
LRU,62.00,33,58,2,0.966667
LRU,63.00,33,59,2,0.967213
LRU,64.00,34,62,2,0.968750
LRU,65.00,35,62,2,0.968750
LRU,66.00,36,64,2,0.969697
LRU,67.00,36,64,2,0.969697
LRU,68.00,37,65,2,0.970149
LRU,69.00,38,65,2,0.970149
LRU,70.00,39,66,2,0.970588
LRU,71.00,39,67,2,0.971014
LRU,72.00,40,68,2,0.971429
LRU,73.00,41,68,2,0.971429
LRU,74.00,41,70,2,0.972222
LRU,75.00,43,71,2,0.972603
LRU,76.00,43,73,2,0.973333
LRU,77.00,43,74,2,0.973684
LRU,78.00,45,75,2,0.974026
LRU,79.00,45,76,2,0.974359
LRU,80.00,45,76,2,0.974359
LRU,81.00,46,76,2,0.974359
LRU,82.00,46,79,2,0.975309
LRU,83.00,46,79,2,0.975309
LRU,84.00,47,81,2,0.975904
LRU,85.00,47,83,2,0.976471
LRU,86.00,49,85,2,0.977011
LRU,87.00,49,86,2,0.977273
LRU,88.00,49,87,2,0.977528
LRU,89.00,49,87,2,0.977528
LRU,90.00,49,88,2,0.977778
LRU,91.00,50,88,2,0.977778
LRU,92.00,51,89,2,0.978022
LRU,93.00,52,89,2,0.978022
LRU,94.00,52,90,2,0.978261
LRU,95.00,52,90,2,0.978261
LRU,96.00,52,90,2,0.978261
LRU,97.00,53,90,2,0.978261
LRU,98.00,53,90,2,0.978261
LRU,99.00,53,90,2,0.978261
LRU,100.00,53,92,2,0.978723
LRU,101.00,54,95,2,0.979381
LRU,102.00,54,95,2,0.979381
LRU,103.00,55,96,2,0.979592
LRU,104.00,55,98,2,0.980000
LRU,105.00,55,100,2,0.980392
LRU,106.00,55,100,2,0.980392
LRU,107.00,56,101,2,0.980583
LRU,108.00,57,101,2,0.980583
LRU,109.00,57,102,2,0.980769
LRU,110.00,58,102,2,0.980769
LRU,111.00,59,103,2,0.980952
LRU,112.00,59,103,2,0.980952
LRU,113.00,60,105,2,0.981308
LRU,114.00,60,105,2,0.981308
LRU,115.00,60,105,2,0.981308
LRU,116.00,60,105,2,0.981308
LRU,117.00,61,106,2,0.981481
LRU,118.00,62,107,2,0.981651
LRU,119.00,62,107,2,0.981651
LRU,120.00,64,108,2,0.981818
LRU,121.00,65,108,2,0.981818
LRU,122.00,65,108,2,0.981818
LRU,123.00,65,109,2,0.981982
LRU,124.00,66,109,2,0.981982
LRU,125.00,67,109,2,0.981982
LRU,126.00,67,110,2,0.982143
LRU,127.00,67,113,2,0.982609
LRU,128.00,67,113,2,0.982609
LRU,129.00,68,113,2,0.982609
LRU,130.00,68,115,2,0.982906
LRU,131.00,68,115,2,0.982906
LRU,132.00,69,118,2,0.983333
LRU,133.00,69,118,2,0.983333
LRU,134.00,70,118,2,0.983333
LRU,135.00,70,118,2,0.983333
LRU,136.00,70,118,2,0.983333
LRU,137.00,70,122,2,0.983871
LRU,138.00,70,122,2,0.983871
LRU,139.00,70,123,2,0.984000
LRU,140.00,70,126,2,0.984375
LRU,141.00,70,126,2,0.984375
LRU,142.00,70,128,2,0.984615
LRU,143.00,70,129,2,0.984733
LRU,144.00,70,131,2,0.984962
LRU,145.00,70,131,2,0.984962
LRU,146.00,70,132,2,0.985075
LRU,147.00,72,135,2,0.985401
LRU,148.00,72,137,2,0.985612
LRU,149.00,73,137,2,0.985612
LRU,150.00,74,138,2,0.985714
LRU,151.00,75,139,2,0.985816
LRU,152.00,75,139,2,0.985816
LRU,153.00,75,140,2,0.985915
LRU,154.00,76,141,2,0.986014
LRU,155.00,77,142,2,0.986111
LRU,156.00,78,143,2,0.986207
LRU,157.00,78,143,2,0.986207
LRU,158.00,78,147,2,0.986577
LRU,159.00,78,147,2,0.986577
LRU,160.00,78,148,2,0.986667
LRU,161.00,79,151,2,0.986928
LRU,162.00,80,152,2,0.987013
LRU,163.00,80,154,2,0.987179
LRU,164.00,81,155,2,0.987261
LRU,165.00,82,157,2,0.987421
LRU,166.00,82,157,2,0.987421
LRU,167.00,83,158,2,0.987500
LRU,168.00,84,159,2,0.987578
LRU,169.00,86,160,2,0.987654
LRU,170.00,86,161,2,0.987730
LRU,171.00,88,162,2,0.987805
LRU,172.00,88,162,2,0.987805
LRU,173.00,88,165,2,0.988024
LRU,174.00,88,165,2,0.988024
LRU,175.00,89,165,2,0.988024
LRU,176.00,89,166,2,0.988095
LRU,177.00,90,168,2,0.988235
LRU,178.00,91,169,2,0.988304
LRU,179.00,92,169,2,0.988304
LRU,180.00,92,174,2,0.988636
LRU,181.00,92,176,2,0.988764
LRU,182.00,92,178,2,0.988889
LRU,183.00,93,179,2,0.988950
LRU,184.00,94,182,2,0.989130
LRU,185.00,95,183,2,0.989189
LRU,186.00,95,185,2,0.989305
LRU,187.00,95,186,2,0.989362
LRU,188.00,95,190,2,0.989583
LRU,189.00,96,192,2,0.989691
LRU,190.00,96,192,2,0.989691
LRU,191.00,96,197,2,0.989950
LRU,192.00,97,201,2,0.990148
LRU,193.00,98,202,2,0.990196
LRU,194.00,98,202,2,0.990196
LRU,195.00,99,204,2,0.990291
LRU,196.00,99,204,2,0.990291
LRU,197.00,99,206,2,0.990385
LRU,198.00,99,206,2,0.990385
LRU,199.00,101,206,2,0.990385
LRU,200.00,102,206,2,0.990385
LRU,201.00,103,206,2,0.990385
LRU,202.00,103,206,2,0.990385
